# Generated from Unicode 17.0.0 GraphemeBreakTest.txt
# Distributed under the Unicode License v3; see UNICODE-LICENSE
nagi-fixture-v1	text-grapheme-break
unicode-0001	text=\u{D}\u{D}	boundaries=0,1,2
unicode-0002	text=\u{D}\u{308}\u{D}	boundaries=0,1,3,4
unicode-0003	text=\u{D}\u{A}	boundaries=0,2
unicode-0004	text=\u{D}\u{308}\u{A}	boundaries=0,1,3,4
unicode-0005	text=\u{D}\u{0}	boundaries=0,1,2
unicode-0006	text=\u{D}\u{308}\u{0}	boundaries=0,1,3,4
unicode-0007	text=\u{D}\u{94D}	boundaries=0,1,4
unicode-0008	text=\u{D}\u{308}\u{94D}	boundaries=0,1,6
unicode-0009	text=\u{D}\u{300}	boundaries=0,1,3
unicode-0010	text=\u{D}\u{308}\u{300}	boundaries=0,1,5
unicode-0011	text=\u{D}\u{200C}	boundaries=0,1,4
unicode-0012	text=\u{D}\u{308}\u{200C}	boundaries=0,1,6
unicode-0013	text=\u{D}\u{200D}	boundaries=0,1,4
unicode-0014	text=\u{D}\u{308}\u{200D}	boundaries=0,1,6
unicode-0015	text=\u{D}\u{1F1E6}	boundaries=0,1,5
unicode-0016	text=\u{D}\u{308}\u{1F1E6}	boundaries=0,1,3,7
unicode-0017	text=\u{D}\u{6DD}	boundaries=0,1,3
unicode-0018	text=\u{D}\u{308}\u{6DD}	boundaries=0,1,3,5
unicode-0019	text=\u{D}\u{903}	boundaries=0,1,4
unicode-0020	text=\u{D}\u{308}\u{903}	boundaries=0,1,6
unicode-0021	text=\u{D}\u{1100}	boundaries=0,1,4
unicode-0022	text=\u{D}\u{308}\u{1100}	boundaries=0,1,3,6
unicode-0023	text=\u{D}\u{1160}	boundaries=0,1,4
unicode-0024	text=\u{D}\u{308}\u{1160}	boundaries=0,1,3,6
unicode-0025	text=\u{D}\u{11A8}	boundaries=0,1,4
unicode-0026	text=\u{D}\u{308}\u{11A8}	boundaries=0,1,3,6
unicode-0027	text=\u{D}\u{AC00}	boundaries=0,1,4
unicode-0028	text=\u{D}\u{308}\u{AC00}	boundaries=0,1,3,6
unicode-0029	text=\u{D}\u{AC01}	boundaries=0,1,4
unicode-0030	text=\u{D}\u{308}\u{AC01}	boundaries=0,1,3,6
unicode-0031	text=\u{D}\u{915}	boundaries=0,1,4
unicode-0032	text=\u{D}\u{308}\u{915}	boundaries=0,1,3,6
unicode-0033	text=\u{D}\u{A9}	boundaries=0,1,3
unicode-0034	text=\u{D}\u{308}\u{A9}	boundaries=0,1,3,5
unicode-0035	text=\u{D}\u{20}	boundaries=0,1,2
unicode-0036	text=\u{D}\u{308}\u{20}	boundaries=0,1,3,4
unicode-0037	text=\u{D}\u{378}	boundaries=0,1,3
unicode-0038	text=\u{D}\u{308}\u{378}	boundaries=0,1,3,5
unicode-0039	text=\u{A}\u{D}	boundaries=0,1,2
unicode-0040	text=\u{A}\u{308}\u{D}	boundaries=0,1,3,4
unicode-0041	text=\u{A}\u{A}	boundaries=0,1,2
unicode-0042	text=\u{A}\u{308}\u{A}	boundaries=0,1,3,4
unicode-0043	text=\u{A}\u{0}	boundaries=0,1,2
unicode-0044	text=\u{A}\u{308}\u{0}	boundaries=0,1,3,4
unicode-0045	text=\u{A}\u{94D}	boundaries=0,1,4
unicode-0046	text=\u{A}\u{308}\u{94D}	boundaries=0,1,6
unicode-0047	text=\u{A}\u{300}	boundaries=0,1,3
unicode-0048	text=\u{A}\u{308}\u{300}	boundaries=0,1,5
unicode-0049	text=\u{A}\u{200C}	boundaries=0,1,4
unicode-0050	text=\u{A}\u{308}\u{200C}	boundaries=0,1,6
unicode-0051	text=\u{A}\u{200D}	boundaries=0,1,4
unicode-0052	text=\u{A}\u{308}\u{200D}	boundaries=0,1,6
unicode-0053	text=\u{A}\u{1F1E6}	boundaries=0,1,5
unicode-0054	text=\u{A}\u{308}\u{1F1E6}	boundaries=0,1,3,7
unicode-0055	text=\u{A}\u{6DD}	boundaries=0,1,3
unicode-0056	text=\u{A}\u{308}\u{6DD}	boundaries=0,1,3,5
unicode-0057	text=\u{A}\u{903}	boundaries=0,1,4
unicode-0058	text=\u{A}\u{308}\u{903}	boundaries=0,1,6
unicode-0059	text=\u{A}\u{1100}	boundaries=0,1,4
unicode-0060	text=\u{A}\u{308}\u{1100}	boundaries=0,1,3,6
unicode-0061	text=\u{A}\u{1160}	boundaries=0,1,4
unicode-0062	text=\u{A}\u{308}\u{1160}	boundaries=0,1,3,6
unicode-0063	text=\u{A}\u{11A8}	boundaries=0,1,4
unicode-0064	text=\u{A}\u{308}\u{11A8}	boundaries=0,1,3,6
unicode-0065	text=\u{A}\u{AC00}	boundaries=0,1,4
unicode-0066	text=\u{A}\u{308}\u{AC00}	boundaries=0,1,3,6
unicode-0067	text=\u{A}\u{AC01}	boundaries=0,1,4
unicode-0068	text=\u{A}\u{308}\u{AC01}	boundaries=0,1,3,6
unicode-0069	text=\u{A}\u{915}	boundaries=0,1,4
unicode-0070	text=\u{A}\u{308}\u{915}	boundaries=0,1,3,6
unicode-0071	text=\u{A}\u{A9}	boundaries=0,1,3
unicode-0072	text=\u{A}\u{308}\u{A9}	boundaries=0,1,3,5
unicode-0073	text=\u{A}\u{20}	boundaries=0,1,2
unicode-0074	text=\u{A}\u{308}\u{20}	boundaries=0,1,3,4
unicode-0075	text=\u{A}\u{378}	boundaries=0,1,3
unicode-0076	text=\u{A}\u{308}\u{378}	boundaries=0,1,3,5
unicode-0077	text=\u{0}\u{D}	boundaries=0,1,2
unicode-0078	text=\u{0}\u{308}\u{D}	boundaries=0,1,3,4
unicode-0079	text=\u{0}\u{A}	boundaries=0,1,2
unicode-0080	text=\u{0}\u{308}\u{A}	boundaries=0,1,3,4
unicode-0081	text=\u{0}\u{0}	boundaries=0,1,2
unicode-0082	text=\u{0}\u{308}\u{0}	boundaries=0,1,3,4
unicode-0083	text=\u{0}\u{94D}	boundaries=0,1,4
unicode-0084	text=\u{0}\u{308}\u{94D}	boundaries=0,1,6
unicode-0085	text=\u{0}\u{300}	boundaries=0,1,3
unicode-0086	text=\u{0}\u{308}\u{300}	boundaries=0,1,5
unicode-0087	text=\u{0}\u{200C}	boundaries=0,1,4
unicode-0088	text=\u{0}\u{308}\u{200C}	boundaries=0,1,6
unicode-0089	text=\u{0}\u{200D}	boundaries=0,1,4
unicode-0090	text=\u{0}\u{308}\u{200D}	boundaries=0,1,6
unicode-0091	text=\u{0}\u{1F1E6}	boundaries=0,1,5
unicode-0092	text=\u{0}\u{308}\u{1F1E6}	boundaries=0,1,3,7
unicode-0093	text=\u{0}\u{6DD}	boundaries=0,1,3
unicode-0094	text=\u{0}\u{308}\u{6DD}	boundaries=0,1,3,5
unicode-0095	text=\u{0}\u{903}	boundaries=0,1,4
unicode-0096	text=\u{0}\u{308}\u{903}	boundaries=0,1,6
unicode-0097	text=\u{0}\u{1100}	boundaries=0,1,4
unicode-0098	text=\u{0}\u{308}\u{1100}	boundaries=0,1,3,6
unicode-0099	text=\u{0}\u{1160}	boundaries=0,1,4
unicode-0100	text=\u{0}\u{308}\u{1160}	boundaries=0,1,3,6
unicode-0101	text=\u{0}\u{11A8}	boundaries=0,1,4
unicode-0102	text=\u{0}\u{308}\u{11A8}	boundaries=0,1,3,6
unicode-0103	text=\u{0}\u{AC00}	boundaries=0,1,4
unicode-0104	text=\u{0}\u{308}\u{AC00}	boundaries=0,1,3,6
unicode-0105	text=\u{0}\u{AC01}	boundaries=0,1,4
unicode-0106	text=\u{0}\u{308}\u{AC01}	boundaries=0,1,3,6
unicode-0107	text=\u{0}\u{915}	boundaries=0,1,4
unicode-0108	text=\u{0}\u{308}\u{915}	boundaries=0,1,3,6
unicode-0109	text=\u{0}\u{A9}	boundaries=0,1,3
unicode-0110	text=\u{0}\u{308}\u{A9}	boundaries=0,1,3,5
unicode-0111	text=\u{0}\u{20}	boundaries=0,1,2
unicode-0112	text=\u{0}\u{308}\u{20}	boundaries=0,1,3,4
unicode-0113	text=\u{0}\u{378}	boundaries=0,1,3
unicode-0114	text=\u{0}\u{308}\u{378}	boundaries=0,1,3,5
unicode-0115	text=\u{94D}\u{D}	boundaries=0,3,4
unicode-0116	text=\u{94D}\u{308}\u{D}	boundaries=0,5,6
unicode-0117	text=\u{94D}\u{A}	boundaries=0,3,4
unicode-0118	text=\u{94D}\u{308}\u{A}	boundaries=0,5,6
unicode-0119	text=\u{94D}\u{0}	boundaries=0,3,4
unicode-0120	text=\u{94D}\u{308}\u{0}	boundaries=0,5,6
unicode-0121	text=\u{94D}\u{94D}	boundaries=0,6
unicode-0122	text=\u{94D}\u{308}\u{94D}	boundaries=0,8
unicode-0123	text=\u{94D}\u{300}	boundaries=0,5
unicode-0124	text=\u{94D}\u{308}\u{300}	boundaries=0,7
unicode-0125	text=\u{94D}\u{200C}	boundaries=0,6
unicode-0126	text=\u{94D}\u{308}\u{200C}	boundaries=0,8
unicode-0127	text=\u{94D}\u{200D}	boundaries=0,6
unicode-0128	text=\u{94D}\u{308}\u{200D}	boundaries=0,8
unicode-0129	text=\u{94D}\u{1F1E6}	boundaries=0,3,7
unicode-0130	text=\u{94D}\u{308}\u{1F1E6}	boundaries=0,5,9
unicode-0131	text=\u{94D}\u{6DD}	boundaries=0,3,5
unicode-0132	text=\u{94D}\u{308}\u{6DD}	boundaries=0,5,7
unicode-0133	text=\u{94D}\u{903}	boundaries=0,6
unicode-0134	text=\u{94D}\u{308}\u{903}	boundaries=0,8
unicode-0135	text=\u{94D}\u{1100}	boundaries=0,3,6
unicode-0136	text=\u{94D}\u{308}\u{1100}	boundaries=0,5,8
unicode-0137	text=\u{94D}\u{1160}	boundaries=0,3,6
unicode-0138	text=\u{94D}\u{308}\u{1160}	boundaries=0,5,8
unicode-0139	text=\u{94D}\u{11A8}	boundaries=0,3,6
unicode-0140	text=\u{94D}\u{308}\u{11A8}	boundaries=0,5,8
unicode-0141	text=\u{94D}\u{AC00}	boundaries=0,3,6
unicode-0142	text=\u{94D}\u{308}\u{AC00}	boundaries=0,5,8
unicode-0143	text=\u{94D}\u{AC01}	boundaries=0,3,6
